,0
1136,Apple 
1137,Apple 
1138,Patterson 
1139,Morgan 
1140,Goldman 
1141,Ackman 
1142,Apple 
1143,Apple 
1144,Apple 
1145,Apple 
1146,Apple 
1147,Apple 
1148,Apple 
1149,Apple 
1150,Apple 
1151,Apple 
1152,Ackman 
1153,Michigan 
1154,Goldman 
1155,Goldman 
1156,Goldman Sachs 
1157,Tesla 
1158,Ackman 
1159,Ackman 
1160,Tesla 
1161,Tesla 
1162,Johnson 
1163,Tesla 
1164,Reuters 
1165,Tesla 
1166,Tesla 
1167,Tesla 
1168,Tesla 
1169,Tesla 
1170,Ackman 
1171,Yellen 
1172,Ackman 
1173,Facebook 
1174,Apple Inc 
1175,Goldman 
1176,Apple Inc 
1177,Ackman 
1178,Ackman 
1179,Ackman 
1180,Ackman 
1181,Ackman 
1182,Tesla 
1183,Apple 
1184,Apple 
1185,Ackman 
1186,Ackman 
1187,Apple 
1188,Apple 
1189,Goldman 
1190,Goldman 
1191,Goldman 
1192,Apple 
1193,Apple 
1194,Apple 
1195,Apple 
1196,Apple 
1197,Apple 
1198,Apple 
1199,Apple 
1200,Apple 
1201,Apple 
1202,Apple 
1203,Ackman 
1204,Ackman 
1205,Apple 
1206,Apple 
1207,Apple 
1208,Michigan 
1209,Goldman Sachs 
1210,Michigan 
1211,Michigan 
1212,Michigan 
1213,Google 
1214,Google 
1215,Herbalife 
1216,Ackman 
1217,Herbalife 
1218,Herbalife 
1219,Herbalife 
1220,Ackman 
1221,Tesla 
1222,Apple 
1223,Goldman Sachs 
1224,Goldman 
1225,Goldman 
1226,Goldman 
1227,Tesla 
1228,Goldman 
1229,Goldman 
1230,Facebook 
1231,Facebook 
1232,Apple 
1233,Microsoft 
1234,Microsoft 
1235,Apple 
1236,Goldman 
1237,Goldman 
1238,Goldman 
1239,Lee 
1240,Morgan 
1241,Goldman Sachs 
1242,Germany 
1243,Goldman 
1244,Goldman Sachs 
1245,Apple 
1246,Apple 
1247,Apple 
1248,Apple 
1249,Apple 
1250,Apple 
1251,Apple 
1252,Apple 
1253,Herbalife 
1254,Herbalife 
