,0
736,Bloomberg 
737,Bloomberg 
738,Bloomberg News 
739,Morgan Stanley 
740,Bloomberg 
741,Bloomberg 
742,Bloomberg 
743,Bloomberg 
744,Bloomberg 
745,Bloomberg 
746,Bill Ackman 
747,Bloomberg 
748,Morgan Stanley 
749,Bloomberg 
750,Bloomberg 
751,Bloomberg 
752,Bloomberg 
753,Bloomberg 
754,Bloomberg 
755,Bloomberg 
756,Bloomberg 
757,Morgan Stanley 
758,Bloomberg 
759,Bloomberg 
760,Bloomberg 
761,Bloomberg 
762,Bloomberg 
763,Morgan Stanley 
764,Morgan Stanley 
765,Morgan Stanley 
766,Morgan Stanley 
767,John Paulson 
768,Morgan Stanley 
769,Bloomberg 
770,Morgan Stanley 
771,Bloomberg 
772,Bloomberg 
773,Bloomberg 
774,Bloomberg 
775,Bloomberg 
776,Morgan Stanley 
777,Bloomberg 
778,Bloomberg 
779,Bloomberg 
780,Bloomberg 
781,Bloomberg 
782,Bloomberg 
783,Morgan Stanley 
784,Bloomberg 
785,Stanley 
786,Bloomberg 
787,Bloomberg 
788,Bloomberg 
789,Bloomberg 
790,Bloomberg 
791,Bloomberg 
792,Bloomberg 
793,Bloomberg 
794,Bloomberg 
795,Bloomberg 
796,Bloomberg 
797,Bloomberg 
798,Bloomberg News 
799,Bloomberg 
800,Bloomberg 
801,Bloomberg 
802,Bloomberg 
803,Bloomberg 
804,Morgan Stanley 
805,Bloomberg 
806,Bloomberg 
807,Bloomberg 
808,Bloomberg 
809,Bloomberg 
810,Bloomberg 
811,Bloomberg 
812,Bloomberg 
813,Bloomberg 
814,Bloomberg 
815,Bloomberg 
816,Bloomberg 
817,Bloomberg 
818,Bloomberg 
819,Bloomberg 
820,Morgan Stanley 
821,Morgan Stanley 
822,Bloomberg 
823,Bloomberg 
824,Bloomberg 
825,Bloomberg 
826,Bloomberg 
827,Bloomberg 
828,Morgan Stanley 
829,Bloomberg 
830,Morgan Stanley 
831,Bloomberg 
832,Bloomberg 
833,Bloomberg 
834,John Paulson 
835,Bloomberg 
836,Morgan Stanley 
837,Bloomberg 
838,Bloomberg 
839,Morgan Stanley 
840,Bloomberg 
841,Morgan Stanley 
842,Morgan Stanley 
843,Bloomberg 
844,Bloomberg 
845,Bloomberg 
846,Bloomberg 
847,Morgan Stanley 
848,Bloomberg 
849,Bloomberg 
850,Bloomberg 
851,Bloomberg 
852,Bloomberg 
853,Bloomberg 
854,Bloomberg 
855,Bloomberg 
856,Bloomberg 
857,Bloomberg 
858,Bloomberg 
859,Bloomberg 
860,Bloomberg 
861,Bloomberg 
862,Bloomberg 
863,Bloomberg 
864,Morgan Stanley 
865,Bloomberg 
866,Bloomberg 
867,Morgan Stanley 
868,Bloomberg 
869,Bloomberg 
870,Bloomberg 
871,Bloomberg 
872,Bloomberg 
873,Bloomberg 
874,Morgan Stanley 
875,Bloomberg 
876,Bloomberg 
877,Bloomberg 
878,Bloomberg 
879,Bloomberg 
880,Bloomberg 
881,Bloomberg 
882,Bloomberg 
883,Bloomberg 
884,Morgan Stanley 
885,Bloomberg 
886,Morgan Stanley 
887,Bloomberg 
888,Bloomberg 
889,Bloomberg 
890,Bloomberg 
891,Bloomberg 
892,Bloomberg 
893,Morgan Stanley 
894,Bloomberg 
895,Bloomberg 
896,Bloomberg 
897,Morgan Stanley 
898,Morgan Stanley 
899,Bloomberg 
900,Bloomberg 
901,Bloomberg 
902,Bloomberg 
903,Bloomberg 
904,Bloomberg 
905,Morgan Stanley 
906,Bloomberg 
907,Morgan Stanley 
908,Bloomberg 
909,Bloomberg Market 
910,Bloomberg 
911,Bloomberg 
912,Bloomberg 
913,Bloomberg 
914,Bloomberg 
915,Bloomberg 
916,Bloomberg 
917,Bloomberg 
918,Bloomberg 
919,Bloomberg 
920,Bloomberg 
921,Bloomberg 
922,Stanley 
923,Bloomberg 
924,Morgan Stanley 
925,Bloomberg 
926,Bloomberg 
927,Bloomberg 
928,Bloomberg 
929,Bloomberg 
930,Bloomberg 
931,Bloomberg 
932,Bloomberg 
933,Bloomberg 
934,Morgan Stanley 
935,Bloomberg 
936,Morrison 
937,Bloomberg 
938,Bloomberg 
939,Bloomberg 
940,Bloomberg 
941,Bloomberg 
942,Bloomberg 
943,Bloomberg 
944,Bloomberg 
945,Bloomberg 
946,Bloomberg 
947,Morrison 
948,Bloomberg 
949,Bloomberg 
950,Bill Ackman 
951,Bloomberg 
952,Bill Ackman 
953,Bloomberg 
954,Bloomberg 
955,Bloomberg 
956,Bloomberg 
957,Bloomberg 
958,John Paulson 
959,Stanley 
960,Morgan Stanley 
961,Morgan Stanley 
962,Stanley 
963,Morgan Stanley 
964,Greenberg 
965,Bloomberg 
966,Bloomberg 
967,Greenberg 
968,Bloomberg 
969,Morgan Stanley 
970,Bloomberg 
971,Bloomberg 
972,Bloomberg 
973,Paulson 
974,Morgan Stanley 
975,Morgan Stanley 
976,Bloomberg 
977,Bloomberg 
978,Morgan Stanley 
979,Morgan Stanley 
980,Bloomberg 
981,John Paulson 
982,Stanley 
983,Bloomberg 
984,Bloomberg 
985,Morgan Stanley 
986,Davidson 
987,Bloomberg 
988,Bloomberg 
989,David Rosenberg 
990,Davidson 
991,Bloomberg 
992,Bloomberg 
993,Bloomberg 
994,Bloomberg 
995,Morgan Stanley 
996,Morgan Stanley 
997,Bloomberg 
998,Bloomberg 
999,Morgan Stanley 
1000,Bloomberg 
1001,Bloomberg 
1002,Bloomberg 
1003,Bloomberg 
1004,Morgan Stanley 
1005,Bloomberg 
1006,Bloomberg 
1007,Bloomberg 
1008,Bloomberg 
1009,Bloomberg 
1010,Bloomberg 
1011,Bloomberg 
1012,Bloomberg 
1013,Bloomberg 
1014,Morgan Stanley 
1015,Bloomberg 
1016,Bloomberg 
1017,Michael Bloomberg 
1018,Bloomberg 
1019,Michael Bloomberg 
1020,Bloomberg 
1021,Bloomberg 
1022,Morgan Stanley 
1023,Bloomberg 
1024,Bloomberg 
1025,Bloomberg 
1026,Morgan Stanley 
1027,Bloomberg 
1028,Morgan Stanley 
1029,Bloomberg 
1030,Bloomberg 
1031,Bloomberg 
1032,Bloomberg 
1033,John Paulson 
1034,Paulson 
1035,Bloomberg 
1036,Bloomberg 
1037,Bloomberg 
1038,Bloomberg 
1039,Bloomberg 
1040,Bloomberg 
1041,Bloomberg 
1042,Bloomberg 
1043,Bloomberg 
1044,Morgan Stanley 
1045,Morgan Stanley 
1046,Bloomberg 
1047,Bloomberg 
1048,Bloomberg 
1049,Rosenberg 
1050,Bloomberg 
1051,Morgan Stanley 
1052,Morgan Stanley 
1053,Stanley 
1054,Morgan Stanley 
1055,Morgan Stanley 
1056,Bloomberg 
1057,Bloomberg 
1058,Bloomberg 
1059,Bloomberg 
1060,Chiasson 
1061,Bloomberg 
1062,Bloomberg 
1063,Morgan Stanley 
1064,Bloomberg 
1065,Bloomberg 
1066,Bloomberg 
1067,Bloomberg 
1068,Bloomberg 
1069,Bloomberg 
1070,Bloomberg 
1071,Morgan Stanley 
1072,Hutchison 
1073,Bloomberg 
1074,Bloomberg 
1075,Bloomberg 
1076,Bloomberg 
1077,Bloomberg 
1078,Bloomberg 
1079,Bloomberg 
1080,Bloomberg 
1081,Bloomberg 
1082,Bloomberg 
1083,Bloomberg 
1084,Stanley 
1085,Morgan Stanley 
1086,David Rosenberg 
1087,Bloomberg 
1088,Bloomberg 
1089,Bloomberg 
1090,David Rosenberg 
1091,Bloomberg 
1092,Bloomberg 
