,0
1099,20%
1100,11.3%
1101,11.8%
1102,6.6%
1103,35.9%
1104,27%
1105,37%
1106,36%
1107,13.6%
1108,17.3%
1109,9.1%
1110,10.9%
1111,17.3%
1112,23.1%
1113,10%
1114,10%
1115,10%
1116,10.7%
1117,11.1%
1118,14.7%
1119,16.3%
1120,26.2%
1121,16%
1122,7.5%
1123,1.5%
1124,-8.2%
1125,44.4%
1126,3-5%
1127,100%
1128,4.9%
1129,7.9%
1130,4.9%
1131,7.9%
1132,9.3%
1133,3.3%
1134,7.1%
1135,78%
1136,37%
1137,35%
1138,36%
1139,3.6%
1140,4.3%
1141,20%
1142,9.3%
1143,5.5%
1144,50%
1145,35%
1146,20%
1147,26.6%
1148,10.5%
1149,2.7%
1150,17%
1151,5.4%
1152,78%
1153,34%
1154,2.8%
1155,3.9%
1156,2.3%
1157,5.8%
1158,14.6%
1159,14.6%
1160,98%
1161,99.5%
1162,99.5%
1163,1.9%
1164,30%
1165,2.08%
1166,0.3%
1167,0.6%
1168,1.7%
1169,7.5%
1170,13%
1171,10%
1172,+2.7%
1173,+2.3%
1174,72.2%
1175,72.4%
1176,72.7%
1177,-2%
1178,-4%
1179,0.27%
1180,0.6%
1181,15%
1182,50%
1183,10%
1184,19.7%
1185,28.4%
1186,25.5%
1187,100%
1188,1.2%
1189,11%
1190,13%
1191,14%
1192,13%
1193,16.6%
1194,16.2%
1195,10%
1196,11%
1197,20.8%
1198,41%
1199,18%
1200,7.3%
1201,6.2%
1202,28%
1203,11%
1204,14%
1205,26%
1206,33.7%
1207,34.3%
1208,13%
1209,24%
1210,25.5%
1211,23.2%
1212,34%
1213,24%
1214,23%
1215,37%
1216,100%
1217,40%
1218,8.69%
1219,0.13%
1220,11.6%
1221,4.9%
1222,3.03%
1223,3.26%
1224,4.53%
1225,5.0%
1226,73%
1227,68%
1228,67%
1229,86%
1230,66%
1231,60%
1232,80%
1233,3.73%
1234,1.5%
1235,+1.04%
1236,0.20%
1237,11%
1238,30%
1239,31%
1240,38.6%
1241,31.6%
1242,37.0%
1243,29.4%
1244,10%
1245,12%
1246,20%
1247,45%
1248,50%
1249,30%
1250,35%
1251,25%
1252,10%
1253,40%
1254,47%
1255,60%
1256,59.8%
1257,50%
1258,10%
1259,0.35%
1260,20%
1261,20%
1262,182%
1263,85%
1264,11%
1265,600%
1266,63%
1267,10%
1268,5-10%
1269,8.24%
1270,10%
1271,50%
1272,10%
1273,50%
1274,8.24%
1275,13.9%
1276,15.6%
1277,15%
1278,10%
1279,30%
1280,8.75%
1281,12%
1282,0.5%
1283,34%
1284,20%
1285,70%
1286,100%
1287,1.7%
1288,6.1%
1289,4.4%
1290,15%
1291,20%
1292,+10%
1293,20%
1294,5.8%
1295,1.9%
1296,14.5%
1297,15.8%
1298,-47.5%
1299,-22.2%
1300,-16.8%
1301,2.1%
1302,76.8%
1303,11%
1304,15%
1305,12.3%
1306,20%
1307,9.2%
1308,10.2%
1309,16.8%
1310,26.2%
1311,28.2%
1312,01%
1313,10%
1314,60%
1315,10%
1316,10%
1317,+1.2%
1318,+1.9%
1319,70%
1320,20%
1321,-4.2%
1322,0.3%
1323,2.25%
1324,14.19%
1325,100%
1326,44.2%
1327,36.7%
1328,15%
1329,30%
1330,1.6%
1331,5.2%
1332,7.7%
1333,99%
1334,30%
1335,32%
1336,10%
1337,13%
1338,10%
1339,25%
1340,177.37%
1341,50%
1342,2-3%
1343,100%
1344,90%
1345,20%
1346,27%
1347,30%
1348,50%
1349,10%
1350,90%
1351,8-10%
1352,100%
1353,11.9%
1354,5.8%
1355,5.6%
1356,4.1%
1357,1.30%
1358,95%
1359,34%
1360,0.13%
1361,14%
1362,23%
1363,6-8%
1364,4.5%
1365,4.4%
1366,70%
1367,25%
1368,70%
1369,70%
1370,58%
1371,62%
1372,10%
1373,51%
1374,77%
1375,41%
1376,63%
1377,90%
1378,61%
1379,82%
1380,49%
1381,53%
1382,58%
1383,38%
1384,92%
1385,62%
1386,38%
1387,72%
1388,82%
1389,87%
1390,98%
1391,97%
1392,70%
1393,86%
1394,73%
1395,74%
1396,50%
1397,2.5%
1398,19.0%
1399,22.4%
1400,20.4%
1401,1.0%
1402,-1.8%
1403,25%
1404,10%
1405,-16%
1406,90%
1407,-2%
1408,+14%
1409,25%
1410,35%
1411,11%
1412,-14%
1413,35%
1414,100%
1415,20%
1416,20%
1417,1.6%
1418,5.2%
1419,7.7%
1420,12.6%
1421,80%
1422,67%
1423,20%
1424,62%
1425,28%
1426,8.9%
1427,2.4%
1428,3.1%
1429,1.8%
1430,1.0%
1431,0.1%
1432,1.5%
1433,1.56%
1434,1.6%
1435,2.4%
1436,2.7%
1437,0.5%
1438,3.1%
1439,1.5%
1440,1.6%
1441,1.7%
1442,2.0%
1443,2.2%
1444,3.6%
1445,3.2%
1446,1.7%
1447,2.2%
1448,2.2%
1449,1.9%
1450,120%
1451,5.84%
1452,20%
1453,+20%
1454,20%
1455,17.2%
1456,73%
1457,7.5%
1458,100%
1459,150%
1460,8.19%
1461,5.84%
1462,8.24%
1463,35%
1464,20%
1465,2.5%
1466,0.57%
1467,5.8%
1468,5.3%
1469,0.4%
1470,100%
1471,6.36%
1472,3.71%
1473,80%
1474,3.39%
1475,100%
1476,40%
1477,32.80%
1478,10%
1479,23%
1480,14%
1481,50%
1482,10%
1483,0.1%
1484,22%
1485,2.5%
1486,0.3%
1487,2.2%
1488,8.4%
1489,1.0%
1490,0.1%
1491,12.4%
1492,40%
1493,11%
1494,5-6%
1495,4-6%
1496,10-12%
1497,80%
1498,50%
1499,70%
1500,3-3.8%
1501,25-250%
1502,3.4%
1503,10%
1504,8.98%
1505,9.98%
1506,5.6%
1507,1.6%
1508,0.1%
1509,1.0%
1510,47%
1511,2.5%
1512,3.0%
1513,20%
1514,80%
1515,28%
1516,153%
1517,47%
1518,50%
1519,35%
1520,0.8%
1521,0.50%
1522,35%
1523,3.2%
1524,9.3%
1525,8.5%
1526,15%
1527,1.0%
1528,2.28%
1529,4.8%
1530,4.2%
1531,3.8%
1532,30%
1533,2.5%
1534,9.5%
1535,100%
1536,18.5%
1537,7.4%
1538,25%
1539,10%
1540,25%
1541,23%
1542,19%
1543,37%
1544,68%
1545,82%
1546,18%
1547,0.5%
1548,2.2%
1549,1.5%
1550,21.59%
1551,13.31%
1552,6.32%
1553,11%
1554,12%
1555,50%
1556,-0.1%
1557,0.3%
1558,0.3%
1559,0.1%
1560,80.5%
1561,80.5%
1562,80%
1563,90%
1564,20%
1565,-2.8%
1566,-0.9%
1567,1.9%
1568,4.7%
1569,2.0%
1570,1.7%
1571,1.9%
1572,0.3%
1573,100%
1574,11.9%
1575,5.8%
1576,4.1%
1577,80%
1578,80%
1579,80%
1580,50%
1581,70%
1582,40%
1583,2.0%
1584,37%
1585,83%
1586,75%
1587,17%
1588,25%
1589,15.7%
1590,80%
1591,52%
1592,44%
1593,7.9%
1594,0.2%
1595,0.1%
1596,35%
1597,55.6%
1598,0.1%
1599,7.8%
1600,7.7%
1601,7.8%
1602,44%
1603,-3%
1604,-9%
1605,33%
1606,29%
1607,43%
1608,12%
1609,8.5%
1610,87%
1611,10%
1612,25%
1613,50%
1614,1.6%
1615,70%
1616,59%
1617,30%
1618,42%
1619,16%
1620,80%
1621,25%
1622,80%
1623,2.9%
1624,4.5%
1625,12.4%
1626,2.5%
1627,50%
1628,25%
1629,13%
1630,13%
1631,25%
1632,60%
1633,80%
1634,24%
1635,75%
1636,10%
1637,60%
1638,53%
1639,70%
1640,75%
1641,0.5%
1642,2.4%
1643,5.4%
1644,6.7%
1645,3.99%
1646,1.3%
1647,2.5%
1648,2.1%
